Datum,Aantal klikken,Vertoningen,CTR,Positie
2026-04-21,14,417,3.36%,9.1
2026-04-22,17,425,4%,8.7
2026-04-23,13,430,3.02%,8.3
2026-04-24,11,473,2.33%,8.7
2026-04-25,5,398,1.26%,9
2026-04-26,9,365,2.47%,10.1
2026-04-27,9,576,1.56%,13.6
2026-04-28,22,516,4.26%,9.5
2026-04-29,18,560,3.21%,8.6
2026-04-30,14,479,2.92%,8.9
2026-05-01,17,468,3.63%,9.4
2026-05-02,19,475,4%,8.4
2026-05-03,18,497,3.62%,9.3
2026-05-04,21,518,4.05%,9.9
2026-05-05,19,451,4.21%,8.9
2026-05-06,17,495,3.43%,8.7
2026-05-07,13,467,2.78%,8.4
2026-05-08,14,486,2.88%,8.2
2026-05-09,9,598,1.51%,17.1
2026-05-10,11,635,1.73%,15.9
2026-05-11,16,521,3.07%,9
2026-05-12,16,442,3.62%,8.5
2026-05-13,20,496,4.03%,9.4
2026-05-14,13,516,2.52%,7.8
2026-05-15,13,510,2.55%,7.6
2026-05-16,14,469,2.99%,8.5
2026-05-17,10,466,2.15%,7.4
2026-05-18,9,443,2.03%,8.4
2026-05-19,11,459,2.4%,7.8
2026-05-20,19,519,3.66%,9.2
2026-05-21,21,436,4.82%,7.4
2026-05-22,15,468,3.21%,8.4
2026-05-23,12,388,3.09%,9.2
2026-05-24,11,408,2.7%,9.1
2026-05-25,8,454,1.76%,8
2026-05-26,16,452,3.54%,8.6
2026-05-27,14,411,3.41%,8.4
2026-05-28,16,440,3.64%,8.4
2026-05-29,12,434,2.76%,7.7
2026-05-30,8,378,2.12%,8.1
2026-05-31,12,457,2.63%,7.7
2026-06-01,15,461,3.25%,7.9
2026-06-02,23,415,5.54%,7.5
2026-06-03,13,422,3.08%,7.8
2026-06-04,13,386,3.37%,7.8
2026-06-05,15,462,3.25%,7.6
2026-06-06,25,480,5.21%,9.3
2026-06-07,17,440,3.86%,8.1
2026-06-08,14,418,3.35%,7.7
2026-06-09,14,443,3.16%,8.3
2026-06-10,16,459,3.49%,7.3
2026-06-11,16,414,3.86%,7.6
2026-06-12,19,785,2.42%,15.8
2026-06-13,16,542,2.95%,10.3
2026-06-14,12,749,1.6%,6.7
2026-06-15,16,446,3.59%,7.8
2026-06-16,21,480,4.38%,9.4
2026-06-17,11,505,2.18%,8.6
2026-06-18,14,399,3.51%,9.8
2026-06-19,14,404,3.47%,8.4
2026-06-20,12,364,3.3%,9.6
2026-06-21,14,445,3.15%,8.3
