Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,856,24390,3.51%,8.68
België,6,928,0.65%,9.45
Verenigde Staten,5,888,0.56%,10.03
Frankrijk,5,84,5.95%,10.39
Zwitserland,5,63,7.94%,11.33
Duitsland,4,525,0.76%,9.9
Verenigd Koninkrijk,4,197,2.03%,10.33
Spanje,4,122,3.28%,12.75
India,2,99,2.02%,38.16
Denemarken,2,74,2.7%,9.35
Ierland,2,66,3.03%,8.67
Zuid-Afrika,2,24,8.33%,6.38
Japan,1,276,0.36%,10.19
Canada,1,56,1.79%,12.68
Polen,1,54,1.85%,10.09
Zweden,1,49,2.04%,13.59
Australië,1,31,3.23%,12.97
Nieuw-Zeeland,1,19,5.26%,20.05
Marokko,1,9,11.11%,9.44
Uruguay,1,2,50%,16.5
Kaaimaneilanden,1,1,100%,1
Italië,0,105,0%,11.4
Indonesië,0,75,0%,17.68
Noorwegen,0,74,0%,10.2
Aruba,0,60,0%,5.68
Brazilië,0,58,0%,16.17
Roemenië,0,57,0%,10.46
Filipijnen,0,44,0%,17.23
Griekenland,0,41,0%,9.02
Turkije,0,35,0%,10.49
Zuid-Korea,0,33,0%,11.3
Oostenrijk,0,31,0%,11.65
Finland,0,30,0%,31.83
Hongarije,0,29,0%,9.45
China,0,28,0%,8.5
Portugal,0,27,0%,9.89
Thailand,0,27,0%,12.78
Curaçao (Nederlandse Antillen),0,26,0%,4.88
Rusland,0,24,0%,8.75
Vietnam,0,24,0%,17.08
Tsjechië,0,22,0%,10.45
Oekraïne,0,19,0%,7.68
Luxemburg,0,19,0%,10.21
IJsland,0,17,0%,10.41
Egypte,0,16,0%,9.5
Sint Maarten,0,15,0%,5.93
Colombia,0,15,0%,7.13
Pakistan,0,15,0%,11.2
Verenigde Arabische Emiraten,0,13,0%,12.62
Hongkong,0,12,0%,11.5
Singapore,0,12,0%,18.08
Qatar,0,11,0%,10.27
Taiwan,0,11,0%,14.73
Mexico,0,11,0%,15
Argentinië,0,10,0%,16.9
Slowakije,0,9,0%,8
Israël,0,9,0%,15.22
Saudi-Arabië,0,9,0%,15.89
Kroatië,0,8,0%,6.25
Maleisië,0,8,0%,10.62
Caribisch Nederland,0,7,0%,2.71
Algerije,0,7,0%,36.14
Malta,0,6,0%,7.5
Albanië,0,6,0%,7.83
Litouwen,0,6,0%,9.33
Ecuador,0,6,0%,13.5
Bangladesh,0,6,0%,17.5
Nigeria,0,6,0%,18.17
Iran,0,5,0%,7.4
Chili,0,5,0%,10
Jordanië,0,5,0%,20.6
Bulgarije,0,4,0%,6.25
Servië,0,4,0%,7
Irak,0,4,0%,8.25
Bosnië en Herzegovina,0,4,0%,9
Peru,0,4,0%,13
Venezuela,0,4,0%,14.75
Sri Lanka,0,4,0%,29.75
Sint Maarten (Frans gedeelte),0,3,0%,2.33
Slovenië,0,3,0%,5
Gabon,0,3,0%,5.67
Dominicaanse Republiek,0,3,0%,9.67
Oezbekistan,0,3,0%,11
Kenia,0,3,0%,18
Mauritius,0,3,0%,24
Guatemala,0,3,0%,25
Costa Rica,0,3,0%,35.67
Koeweit,0,3,0%,42.67
El Salvador,0,3,0%,54.33
St. Lucia,0,2,0%,8
Belarus,0,2,0%,10
Guam,0,2,0%,11
Macedonië,0,2,0%,11.5
Macau,0,2,0%,12
Paraguay,0,2,0%,14
Nepal,0,2,0%,16
Palestina,0,2,0%,16.5
Estland,0,2,0%,53
Panama,0,2,0%,85.5
Cyprus,0,1,0%,1
Oman,0,1,0%,1
Ethiopië,0,1,0%,3
Syrië,0,1,0%,4
Montenegro,0,1,0%,5
Faeröer,0,1,0%,6
Azerbeidzjan,0,1,0%,7
Letland,0,1,0%,7
Onbekende Regio,0,1,0%,7
Afghanistan,0,1,0%,8
Kazachstan,0,1,0%,8
Congo-Kinshasa,0,1,0%,9
Suriname,0,1,0%,9
Fiji,0,1,0%,10
Laos,0,1,0%,10
Moldavië,0,1,0%,11
Tanzania,0,1,0%,11
Niger,0,1,0%,12
Kosovo,0,1,0%,12
Togo,0,1,0%,18
Ghana,0,1,0%,36
Cambodja,0,1,0%,41
Kaapverdië,0,1,0%,72
